"","sovereignt","type","admin","geounit","subunit","name","name_long","brk_name","formal_en","name_sort"
"175","United States of America","Dependency","Puerto Rico","Puerto Rico","Puerto Rico","Puerto Rico","Puerto Rico","Puerto Rico","Commonwealth of Puerto Rico","Puerto Rico"
"176","North Korea","Sovereign country","North Korea","North Korea","North Korea","Dem. Rep. Korea","Dem. Rep. Korea","Dem. Rep. Korea","Democratic People's Republic of Korea","Korea, Dem. Rep."
"177","Portugal","Sovereign country","Portugal","Portugal","Portugal","Portugal","Portugal","Portugal","Portuguese Republic","Portugal"
"178","Paraguay","Sovereign country","Paraguay","Paraguay","Paraguay","Paraguay","Paraguay","Paraguay","Republic of Paraguay","Paraguay"
"179","Israel","Disputed","Palestine","Palestine","Palestine","Palestine","Palestine","Palestine","West Bank and Gaza","Palestine (West Bank and Gaza)"
"180","France","Dependency","French Polynesia","French Polynesia","French Polynesia","Fr. Polynesia","French Polynesia","Fr. Polynesia","French Polynesia","French Polynesia"
"181","Qatar","Sovereign country","Qatar","Qatar","Qatar","Qatar","Qatar","Qatar","State of Qatar","Qatar"
"182","Romania","Sovereign country","Romania","Romania","Romania","Romania","Romania","Romania","Romania","Romania"
"183","Russia","Sovereign country","Russia","Russia","Russia","Russia","Russian Federation","Russia","Russian Federation","Russian Federation"
"184","Rwanda","Sovereign country","Rwanda","Rwanda","Rwanda","Rwanda","Rwanda","Rwanda","Republic of Rwanda","Rwanda"
"185","Western Sahara","Indeterminate","Western Sahara","Western Sahara","Western Sahara","W. Sahara","Western Sahara","W. Sahara","Sahrawi Arab Democratic Republic","Western Sahara"
"186","Saudi Arabia","Sovereign country","Saudi Arabia","Saudi Arabia","Saudi Arabia","Saudi Arabia","Saudi Arabia","Saudi Arabia","Kingdom of Saudi Arabia","Saudi Arabia"
"187","Sudan","Sovereign country","Sudan","Sudan","Sudan","Sudan","Sudan","Sudan","Republic of the Sudan","Sudan"
"188","South Sudan","Sovereign country","South Sudan","South Sudan","South Sudan","S. Sudan","South Sudan","S. Sudan","Republic of South Sudan","South Sudan"
"189","Senegal","Sovereign country","Senegal","Senegal","Senegal","Senegal","Senegal","Senegal","Republic of Senegal","Senegal"
"190","Singapore","Sovereign country","Singapore","Singapore","Singapore","Singapore","Singapore","Singapore","Republic of Singapore","Singapore"
